pick_id,original_team,current_team,year,round,prot_type,prot_until,swap_with,value_units,notes
atl_2029_1st,ATL,ATL,2029,1,none,,,3.2,ATL own 2029 1st
atl_2030_1st,ATL,ATL,2030,1,none,,,3.2,ATL own 2030 1st
atl_2031_1st,ATL,ATL,2031,1,none,,,3.2,ATL own 2031 1st
atl_2032_1st,ATL,ATL,2032,1,none,,,3.2,ATL own 2032 1st
bos_2026_1st,BOS,BOS,2026,1,none,,,3.2,BOS own 2026 1st
bos_2027_1st,BOS,BOS,2027,1,none,,,3.2,BOS own 2027 1st
bos_2028_1st,BOS,BOS,2028,1,none,,,3.2,BOS own 2028 1st (note: swap w/SAS possible per text)
bos_2030_1st,BOS,BKN,2030,1,none,,,3.2,to BRK via HOU per text
bos_2031_1st,BOS,BOS,2031,1,none,,,3.2,BOS own 2031 1st
bos_2032_1st,BOS,BOS,2032,1,none,,,3.2,BOS frozen note; treat as BOS own for now
brk_2026_1st,BRK,BRK,2026,1,none,,,3.2,BRK own (via HOU)
brk_2027_1st,BRK,BRK,2027,1,none,,,3.2,BRK own or HOU swap—kept as BRK own placeholder
brk_2028_1st,BRK,BRK,2028,1,none,,,3.2,Complex multi-swap; keep as BRK own for now
brk_2029_1st,BRK,BRK,2029,1,none,,,3.2,BRK own 2029 1st
brk_2030_1st,BRK,BRK,2030,1,none,,,3.2,BRK own 2030 1st
brk_2031_1st,BRK,BRK,2031,1,none,,,3.2,BRK own 2031 1st
brk_2032_1st,BRK,BRK,2032,1,none,,,3.2,BRK own 2032 1st
cha_2026_1st,CHA,CHA,2026,1,none,,,3.2,CHA own 2026 1st
cha_2027_1st,CHA,CHA,2027,1,none,,,3.2,CHA own 2027 1st
cha_2028_1st,CHA,CHA,2028,1,none,,,3.2,CHA own 2028 1st
cha_2029_1st,CHA,CHA,2029,1,none,,,3.2,CHA own 2029 1st
cha_2030_1st,CHA,CHA,2030,1,none,,,3.2,CHA own 2030 1st
cha_2031_1st,CHA,CHA,2031,1,none,,,3.2,CHA own 2031 1st
cha_2032_1st,CHA,CHA,2032,1,none,,,3.2,CHA own 2032 1st
chi_2026_1st,CHI,CHI,2026,1,none,,,3.2,CHI own 2026 1st
chi_2027_1st,CHI,CHI,2027,1,none,,,3.2,CHI own 2027 1st
chi_2028_1st,CHI,CHI,2028,1,none,,,3.2,CHI own 2028 1st
chi_2029_1st,CHI,CHI,2029,1,none,,,3.2,CHI own 2029 1st
chi_2030_1st,CHI,CHI,2030,1,none,,,3.2,CHI own 2030 1st
chi_2031_1st,CHI,CHI,2031,1,none,,,3.2,CHI own 2031 1st
chi_2032_1st,CHI,CHI,2032,1,none,,,3.2,CHI own 2032 1st
cle_2026_1st,CLE,CLE,2026,1,none,,,3.2,Complex swaps in text; placeholder as CLE own
cle_2028_1st,CLE,CLE,2028,1,none,,,3.2,CLE own 2028 1st (swaps possible)
cle_2030_1st,CLE,CLE,2030,1,none,,,3.2,CLE own 2030 1st
cle_2031_1st,CLE,CLE,2031,1,none,,,3.2,CLE own 2031 1st
cle_2032_1st,CLE,CLE,2032,1,none,,,3.2,CLE own 2032 1st
dal_2026_1st,DAL,DAL,2026,1,none,,,3.2,DAL own 2026 1st
dal_2028_1st,DAL,DAL,2028,1,none,,,3.2,DAL own or OKC swap; keep DAL for now
dal_2030_1st,DAL,DAL,2030,1,none,,,3.2,DAL own or SAS swap; keep DAL for now
dal_2031_1st,DAL,DAL,2031,1,none,,,3.2,DAL own 2031 1st
dal_2032_1st,DAL,DAL,2032,1,none,,,3.2,DAL own 2032 1st
den_2026_1st,DEN,DEN,2026,1,none,,,3.2,DEN own 2026 1st
den_2027_1st,DEN,DEN,2027,1,top5,5,,3.2,"1–5 own; 6–30 to OKC/LAC per text"
den_2028_1st,DEN,DEN,2028,1,top5,5,,3.2,"1–5 own; 6–30 to OKC if not settled"
den_2029_1st,DEN,DEN,2029,1,top5,5,,3.2,"1–5 own; 6–30 conditions with OKC"
den_2030_1st,DEN,DEN,2030,1,top5,5,,3.2,"1–5 own; 6–30 to OKC if prior conveys"
den_2031_1st,DEN,DEN,2031,1,none,,,3.2,DEN own 2031 1st
det_2026_1st,DET,DET,2026,1,none,,,3.2,DET own 2026 1st
det_2027_1st,DET,DET,2027,1,none,,,3.2,DET own 2027 1st
det_2028_1st,DET,DET,2028,1,none,,,3.2,DET own 2028 1st
det_2029_1st,DET,DET,2029,1,none,,,3.2,DET own 2029 1st
det_2030_1st,DET,DET,2030,1,none,,,3.2,DET own 2030 1st
det_2031_1st,DET,DET,2031,1,none,,,3.2,DET own 2031 1st
det_2032_1st,DET,DET,2032,1,none,,,3.2,DET own 2032 1st
gsw_2026_1st,GOS,GOS,2026,1,none,,,3.2,GOS own 2026 1st
gsw_2027_1st,GOS,GOS,2027,1,none,,,3.2,GOS own 2027 1st
gsw_2028_1st,GOS,GOS,2028,1,none,,,3.2,GOS own 2028 1st
gsw_2029_1st,GOS,GOS,2029,1,none,,,3.2,GOS own 2029 1st
gsw_2030_1st,GOS,GOS,2030,1,none,,,3.2,"1–20 own; 21–30 to WAS"
gsw_2031_1st,GOS,GOS,2031,1,none,,,3.2,GOS own 2031 1st
gsw_2032_1st,GOS,GOS,2032,1,none,,,3.2,GOS own 2032 1st
hou_2028_1st,HOU,HOU,2028,1,none,,,3.2,HOU own 2028 1st
hou_2029_1st,HOU,HOU,2029,1,none,,,3.2,HOU two-most/other mechanics—kept as own
hou_2030_1st,HOU,HOU,2030,1,none,,,3.2,HOU own 2030 1st
hou_2031_1st,HOU,HOU,2031,1,none,,,3.2,HOU own 2031 1st
hou_2032_1st,HOU,HOU,2032,1,none,,,3.2,HOU own 2032 1st
ind_2026_1st,IND,IND,2026,1,none,,,3.2,IND own 2026 1st
ind_2027_1st,IND,IND,2027,1,none,,,3.2,IND own 2027 1st
ind_2028_1st,IND,IND,2028,1,none,,,3.2,IND own 2028 1st
ind_2029_1st,IND,IND,2029,1,none,,,3.2,IND own 2029 1st
ind_2030_1st,IND,IND,2030,1,none,,,3.2,IND own 2030 1st
ind_2031_1st,IND,IND,2031,1,none,,,3.2,IND own 2031 1st
ind_2032_1st,IND,IND,2032,1,none,,,3.2,IND own 2032 1st
lac_2029_1st,LAC,LAC,2029,1,none,,,3.2,"1–3 own; 4–30 swap with PHL – kept as own baseline"
lac_2031_1st,LAC,LAC,2031,1,none,,,3.2,LAC own 2031 1st
lac_2032_1st,LAC,LAC,2032,1,none,,,3.2,LAC own 2032 1st
lal_2026_1st,LAL,LAL,2026,1,none,,,3.2,LAL own 2026 1st
lal_2027_1st,LAL,UTH,2027,1,top4,4,,3.2,"1–4 stay LAL; 5–30 to UTH — encode as owed to UTH with top4 protection"
lal_2028_1st,LAL,LAL,2028,1,none,,,3.2,LAL own 2028 1st
lal_2030_1st,LAL,LAL,2030,1,none,,,3.2,LAL own 2030 1st
lal_2031_1st,LAL,LAL,2031,1,none,,,3.2,LAL own 2031 1st
